,Strat_Raw,Strat_VT,EW,Turnover,TC,Long,Short,Gross,Net,PredVol,SPY,Strat_15,EW_15,SPY_15
2012-01-06,0.04843584426308832,0.04843584426308832,0.008198254611056855,1.9334941756188682,9.481306213741506e-11,1.3000804474711676,-0.3000803948143673,1.600160842285535,1.0000000526568003,0.3124283705583923,0.017609654301951938,0.04843584426308832,0.008198254611056855,0.017609654301951938
2012-01-13,0.00043710718900667636,0.00043710718900667636,0.005743765051429243,0.24431815889105366,7.903415089686348e-09,1.2999627665914164,-0.29996276121842336,1.5999255278098399,1.0000000053729932,0.3068847463171497,0.008848265228299512,0.00043710718900667636,0.005743765051429243,0.008848265228299512
2012-01-20,0.01913275795339513,0.01913275795339513,0.01624652722711559,0.938108718807496,2.138665016911473e-07,1.3000678542467992,-0.3000678558742447,1.6001357101210436,0.9999999983725542,0.16368853682849835,0.02413847315950557,0.01913275795339513,0.01624652722711559,0.02413847315950557
2012-01-27,0.020428303096894602,0.020428303096894602,0.018699440659069016,0.8350188989045215,6.715947223582524e-06,1.3000481994135031,-0.3000482204647183,1.6000964198782217,0.9999999789487851,0.2983613585596732,-0.0009849035398775685,0.020428303096894602,0.018699440659069016,-0.0009849035398775685
2012-02-03,-0.0052398770213404776,-0.0052398770213404776,0.011934962707792285,0.49422987797929613,1.3130973473735628e-07,1.299997258347091,-0.29999725685354206,1.599994515200633,1.0000000014935488,0.13431322046903185,0.020633593057921562,-0.0052398770213404776,0.011934962707792285,0.020633593057921562
2012-02-10,0.00242690406952484,0.00242690406952484,0.006693760446325424,0.14424386889240992,1.2762288281158742e-06,1.3000739797876868,-0.30007400051697125,1.600147980304658,0.9999999792707156,0.1383318850634433,-0.0013378188413030179,0.00242690406952484,0.006693760446325424,-0.0013378188413030179
2012-02-17,-0.01001495746242971,-0.01001495746242971,0.011411969371885503,0.12425309694553063,4.3548954137493714e-11,1.29999934450975,-0.29999934422191665,1.5999986887316666,1.0000000002878333,0.11698798871906868,0.015257685212556549,-0.01001495746242971,0.011411969371885503,0.015257685212556549
2012-02-24,0.03539774647444258,0.03539774647444258,0.005201670377909459,0.40001162068990237,1.799819765866137e-10,1.300003148167744,-0.3000031483102352,1.6000062964779795,0.999999999857509,0.1157562964774179,0.003811955313785198,0.03539774647444258,0.005201670377909459,0.003811955313785198
2012-03-02,-0.02074493688623129,-0.02074493688623129,-0.0023369655734720904,0.2899942463332411,2.981585943136254e-05,1.3000176267023655,-0.3000175912743447,1.6000352179767101,1.0000000354280207,0.12041075045558362,0.00277507566453572,-0.02074493688623129,-0.0023369655734720904,0.00277507566453572
2012-03-09,-0.0007749256257445368,-0.0007749256257445368,-0.009087892676251647,0.5119672153882939,9.115348883309451e-10,1.3001116478417842,-0.3001116089420246,1.600223256783809,1.0000000388997599,0.15628292485959142,0.001893770516501192,-0.0007749256257445368,-0.009087892676251647,0.001893770516501192
2012-03-16,-0.011757268827065523,-0.011757268827065523,0.0034418364527223216,0.6004383349005874,2.0958533050427494e-07,1.3000830871127187,-0.30008313973969014,1.6001662268524088,0.9999999473730286,0.1525093976712044,0.02431381612232908,-0.011757268827065523,0.0034418364527223216,0.02431381612232908
2012-03-23,0.0024573507307828926,0.0024573507307828926,-0.009686723723737786,0.20023198606273593,8.726761236500988e-11,1.30006985165098,-0.3000698960510436,1.6001397477020243,0.999999955599937,0.1417303802917028,-0.004632703148818806,0.0024573507307828926,-0.009686723723737786,-0.004632703148818806
2012-03-30,0.0017246697438758542,0.0017246697438758542,-0.0042250599004952745,0.8004803803207874,1.8643550906846168e-07,1.3000974586513654,-0.3000974355896735,1.600194894241039,1.0000000230616917,0.11163094158499823,0.008306154532016219,0.0017246697438758542,-0.0042250599004952745,0.008306154532016219
2012-04-06,-0.007570871862361854,-0.007570871862361854,-0.010308934258835422,0.19984576964479256,3.6359297749908546e-11,1.3000581557307234,-0.3000581561017145,1.6001163118324384,0.9999999996290093,0.10006617007174688,-0.0072438203168545545,-0.007570871862361854,-0.010308934258835422,-0.0072438203168545545
2012-04-13,-0.006735703511157312,-0.006735703511157312,-0.00983247142571247,0.4004474753939231,1.0699559940083023e-05,1.3001183908667782,-0.30011845313849916,1.6002368440052777,0.9999999377282793,0.09813682163119213,-0.018956931033075497,-0.006735703511157312,-0.00983247142571247,-0.018956931033075497
2012-04-20,0.006124611657627461,0.006124611657627461,-0.002189550829122829,0.20030343078192073,3.580245582476255e-11,1.3000581298939307,-0.3000581291274969,1.6001162590214275,1.0000000007664336,0.09543713891331727,0.005906020223856112,0.006124611657627461,-0.002189550829122829,0.005906020223856112
2012-04-27,0.01334345484385283,0.01334345484385283,0.007435662081896994,0.40002935316273147,3.5319391291083266e-06,1.3000645825946735,-0.30006457653451496,1.6001291591291882,1.0000000060601586,0.0918043841551848,0.017687976816059603,0.01334345484385283,0.007435662081896994,0.017687976816059603
2012-05-04,-0.002485211302381409,-0.002485211302381409,-0.008538306577269969,0.8000246486947844,1.3561947072788852e-06,1.3000801846543357,-0.30008017683830174,1.6001603614926374,1.0000000078160338,0.06358141558491519,-0.024147216748812927,-0.002485211302381409,-0.008538306577269969,-0.024147216748812927
2012-05-11,0.01073803303627312,0.01073803303627312,-0.013539672775050601,1.9998099786251622,2.601225650444409e-06,1.3000010630882275,-0.3000010652230394,1.6000021283112669,0.9999999978651883,0.14404820675309202,-0.010145824651938695,0.01073803303627312,-0.013539672775050601,-0.010145824651938695
2012-05-18,-0.005575221043351277,-0.005575221043351277,-0.023551878091859418,1.9084893740541284,8.491926406171733e-06,1.300025373780513,-0.3000253804305869,1.6000507542110998,0.9999999933499261,0.06979660179347326,-0.04328610022170032,-0.005575221043351277,-0.023551878091859418,-0.04328610022170032
2012-05-25,-0.028214371319991903,-0.028214371319991903,-0.0029612677711704782,1.7083468404850772,3.021152093135176e-06,1.3001239703276066,-0.30012403764233836,1.6002480079699455,0.9999999326852687,0.11975963693506547,0.018190685103422144,-0.028214371319991903,-0.0029612677711704782,0.018190685103422144
2012-06-01,0.014597191135825228,0.014597191135825228,-0.013821940466715527,1.4339634420745107,2.539038448959792e-07,1.2999486098232012,-0.2999486321968069,1.5998972420200082,0.9999999776263943,0.06037644648377203,-0.029825941517483856,0.014597191135825228,-0.013821940466715527,-0.029825941517483856
