,CL=F,GC=F,NG=F,SI=F,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^KS11,^MXX,^N225,^NDX,^NSEI,^RUT,^STOXX50E,^TWII,^VIX
2012-01-06,0.03522400087619935,0.02356470570786118,0.03170773694611607,0.04485611693245768,0.021438456825180852,0.020536806578842517,0.026343282168468676,0.021351058079579537,0.032381279910154305,0.02534284505664348,0.034067527283806354,0.023490865517959637,0.021902472117187106,0.025653658029685673,0.031813761548430616,0.027357718379262104,0.02107828093600472,0.015825837992095963,0.023271948040177487,0.02101034727591486,0.02999759687925074,0.03312913609388201,0.02136228598007257,0.11037447643998359
2012-01-13,0.034767216308810696,0.022993268168991363,0.03483060989547417,0.043985272299003085,0.02087963852447029,0.02025876388759239,0.02592463997102208,0.020860194098559555,0.03187168641882886,0.024836379553745052,0.03351958174227429,0.022943907128338024,0.02122252838493555,0.02538539334598158,0.031217740562068563,0.02675186361508145,0.020748055409616092,0.015480615985227115,0.022734656923179754,0.020867716029176545,0.029351618346501747,0.03263144299444672,0.020950090537203352,0.10773390673166261
2012-01-20,0.03409755204432081,0.022143167130818188,0.03746722664175112,0.04222188413565033,0.020488359219813124,0.019998951226119666,0.025388658480446493,0.02033170294321672,0.031273595818699984,0.02426399882617689,0.03282382157603716,0.022388115934137146,0.020507300433789347,0.025112303025125734,0.03028522001283329,0.02646497664197706,0.020708821881522982,0.015745701288363386,0.022211984122044462,0.020600405175012753,0.028640666751764434,0.03200045274410909,0.020551050963449908,0.10753032818356945
2012-01-27,0.033504340119788936,0.02188763254637002,0.047185980350928615,0.04143517726516691,0.020088987683814476,0.019532512388467177,0.02505746166591961,0.019926449163386494,0.030545160803476364,0.023768722726008776,0.032160715261034804,0.021923857580583194,0.0201193686087449,0.024493348830400614,0.029722247008239853,0.025823579991646386,0.020319892237436816,0.015481659896418169,0.021746337508185686,0.0201491114361797,0.02797572549346416,0.03136354869115044,0.020085151154016826,0.1063833675107522
2012-02-03,0.03168755077716043,0.021436059196686688,0.053887610179130754,0.04011057520949363,0.019255475010890352,0.019276980278404108,0.023583446828243145,0.018754459441689398,0.029475390164243317,0.022732619033594893,0.030928521413768686,0.020682720756768084,0.019139420793645556,0.023779168316107054,0.02849218552091246,0.02488293904437035,0.01926643773620203,0.014624322967864973,0.020461156633003155,0.01991469892353036,0.026926564574565083,0.030520326065839147,0.019291228821891215,0.10053045978075124
2012-02-10,0.029611240890681123,0.02063240028952107,0.053724525903234496,0.0390450062038779,0.01682275857289503,0.018674612619020016,0.021738761322953166,0.017640301691820025,0.026959199196537706,0.0209373607502739,0.028882064577337333,0.01941645267094239,0.018361773307280515,0.02270145884202876,0.025573964650548148,0.02248520734460571,0.018274960586864043,0.013722944373998274,0.019496229316323818,0.01931453985462363,0.02553639311715729,0.02763460641036941,0.01799086631913344,0.10320762946545955
2012-02-17,0.028158264884327287,0.019931323147009943,0.05420112933776755,0.03776813143062286,0.016431853947855374,0.01839804994692343,0.021218573069741942,0.01693298399703965,0.025879261914501312,0.01992984491495883,0.027679104996880366,0.018613183192542026,0.01790733766714906,0.022160909154798448,0.02513969381286591,0.02124500122740224,0.01779837350382658,0.013925488437132113,0.0188368598415523,0.01906831906110978,0.024648294735965838,0.0265934379614246,0.017346128865206704,0.10187613056598824
2012-02-24,0.02754810050461245,0.017965971671430915,0.05255288820140028,0.03699396350365672,0.016002715905565693,0.01819891456012942,0.020627842714978216,0.01645169399616006,0.025143700267003095,0.0193250494252528,0.027089719923470444,0.01805427733643666,0.01750226358717954,0.021611156412208045,0.024891707435899864,0.020630973133009194,0.01721494817731953,0.013700055473040165,0.01816971869123337,0.01889845827192071,0.02378873754453527,0.0259741844530478,0.016843732491549992,0.09964494692180481
2012-03-02,0.027358200800474183,0.019591584774879697,0.05176957890259902,0.038975234206834214,0.015622465806405595,0.017992970729362935,0.019818420247880622,0.015935091966621587,0.02457387234969249,0.018683123900306152,0.026422250748211435,0.0174821234432006,0.01707139505379909,0.021082972536918914,0.02420054604847032,0.01987545325288233,0.016557829653174757,0.014015392206245031,0.017667441580430408,0.018659356058437774,0.022958046266305508,0.025460467949424886,0.016340341823686978,0.09649510902076486
2012-03-09,0.02649054999785425,0.01891016505970114,0.051216839613509105,0.03870296974457313,0.015505605132040442,0.018082264834883024,0.019422762157655912,0.015480716837752788,0.02442715643157305,0.018227473394768785,0.026254697265513542,0.017036687850325548,0.01710313212207924,0.021318343899555,0.024345547710486363,0.019362032895085292,0.016240613833462956,0.015503557925078971,0.01717361494353857,0.018713294000039675,0.022595785110565595,0.025248503911322006,0.016424156523938433,0.09925441538766562
2012-03-16,0.025946069418420283,0.0187570849515936,0.05020484805144468,0.03829406630240318,0.01510824999007828,0.017896605916876498,0.01952893941147539,0.014971193670768723,0.022954424714140182,0.01748628394701881,0.025060722586274148,0.01642184559476059,0.01668385155705128,0.020941563925897348,0.023165097420277017,0.018859319130483113,0.015702803135883195,0.015323687454004609,0.016827659467230548,0.018510605528306478,0.022027609014036317,0.0236269662930817,0.016012540913516733,0.0988822943970496
2012-03-23,0.02481739602432605,0.01811673445267221,0.0489057342930768,0.03676306212913615,0.01469615642237907,0.01746773612183859,0.01897053383252254,0.014067684023530962,0.021796563604602637,0.01658587604765076,0.02354052792938207,0.015427137915215144,0.015798904618427607,0.02007595388905631,0.022539210875188696,0.01778344441238757,0.014635570579316947,0.014843433999291849,0.01551531015474982,0.01812423238796648,0.020948607956476354,0.022583268165848915,0.015557398728150111,0.09651386519429742
2012-03-30,0.02392734979581807,0.017597077749625302,0.04820075318854563,0.03225617059687774,0.01424879900545343,0.017013550978544113,0.018880791607586277,0.013386323024351894,0.0213000805626246,0.016165613498052504,0.022840172491619508,0.014757765530306652,0.01528585973097483,0.019573591301853703,0.02254247813021167,0.016725312961944155,0.013994972353766831,0.014529113484757609,0.014719522779658534,0.017816718575287337,0.020158238907564182,0.021897963955694908,0.01569717543698537,0.09676577474873053
